index,Company,TypeName,Ram,OpSys,Weight,Price,TouchScreen,IPS,PPI,CPU_name,HDD,SSD,Gpu brand,Predicted Price
22,HP,Notebook,4,Other,1.860000014,164.9549,0,0,100.4546699,AMD Processor,500,0,AMD,320.1884669
23,Dell,2 in 1 Convertible,8,Windows,1.620000005,523.6358,1,0,165.6321181,Intel Core i5,0,256,Intel,739.1677571
24,HP,Ultrabook,8,Windows,1.909999967,421.3382,0,0,141.2119981,Intel Core i7,0,256,Intel,781.1707628
25,Dell,Notebook,4,Windows,2.299999952,267.6617,0,0,100.4546699,Intel Core i3,1000,0,Intel,325.8688747
26,Apple,Ultrabook,8,Mac,1.350000024,702.6566,0,0,127.6779401,Intel Core i5,0,0,Intel,861.9087972
27,Dell,Notebook,8,Windows,2.200000048,511.488,0,0,141.2119981,Intel Core i5,0,256,AMD,641.4673612
28,Dell,Ultrabook,8,Windows,1.879999995,829.8893,0,0,141.2119981,Intel Core i7,0,512,Intel,775.3909032
29,HP,Notebook,8,Windows,2.5,572.8666,0,0,127.3356746,Intel Core i5,1000,0,Nvidia,584.7309833
30,Chuwi,Notebook,4,Windows,1.889999986,156.6368,0,0,141.2119981,Other Intel Processor,0,0,Intel,212.6586969
31,Asus,Notebook,2,Windows,1.649999976,127.2326,0,0,111.9352036,AMD Processor,0,0,AMD,374.355705
32,HP,Notebook,4,Windows,2.710000038,280.679,0,0,127.3356746,AMD Processor,500,0,AMD,332.1023917
33,Dell,Ultrabook,16,Windows,1.200000048,1194.964,1,0,276.0535301,Intel Core i7,0,512,Intel,1261.479146
34,Apple,Ultrabook,8,Mac,1.350000024,638.0813,0,0,127.6779401,Intel Core i5,0,0,Intel,861.9087972
35,Lenovo,Notebook,4,Windows,1.440000057,159.2006,0,0,111.9352036,Other Intel Processor,0,0,Intel,212.6586969
36,Acer,Notebook,4,Other,2.099999905,234.6451,0,0,100.4546699,Intel Core i3,1000,0,Intel,319.9518147
37,Dell,Notebook,8,Windows,2.799999952,625.9334,0,1,127.3356746,Intel Core i5,1000,128,AMD,674.3725497
38,HP,Notebook,4,Windows,1.860000014,312.4488,0,0,100.4546699,Intel Core i5,1000,0,Intel,439.7062123
39,HP,Notebook,8,Windows,2.099999905,561.9974,0,0,141.2119981,Intel Core i5,0,256,Nvidia,643.5148484
40,Asus,Notebook,4,Other,2,248.711,0,0,141.2119981,Intel Core i3,1000,0,Intel,325.7338062
41,Dell,Gaming,16,Windows,2.650000095,958.4006,0,1,141.2119981,Intel Core i7,1000,256,Nvidia,1112.281231
42,Asus,Notebook,8,Other,2.299999952,334.3789,0,0,100.4546699,Intel Core i5,1000,0,Nvidia,388.7426756
43,Acer,Notebook,4,Windows,2.200000048,436.0435,0,1,141.2119981,Intel Core i5,0,256,Intel,435.773591
44,Dell,2 in 1 Convertible,12,Windows,2.769999981,638.7206,1,0,127.3356746,Intel Core i5,1000,0,Nvidia,787.4064134
45,Apple,Ultrabook,8,Mac,1.370000005,907.2518,0,1,226.9830047,Intel Core i5,0,256,Intel,932.1464519
46,Lenovo,Notebook,4,Other,2.200000048,235.9238,0,0,100.4546699,Intel Core i3,0,128,Intel,319.9518147
47,Asus,Gaming,8,Windows,3.200000048,830.5286,0,0,127.3356746,AMD Processor,1000,256,AMD,815.0811713
48,Dell,Notebook,4,Windows,2.299999952,408.551,0,0,141.2119981,Intel Core i5,0,256,AMD,435.773591
49,Asus,Notebook,4,Windows,2.799999952,297.9418,0,0,90.58340172,Other Intel Processor,1000,0,Nvidia,212.6586969
50,Lenovo,2 in 1 Convertible,4,Other,0.689999998,203.9558,1,1,224.1738091,Other Intel Processor,0,0,Intel,212.6586969
51,Acer,Notebook,8,Windows,2.200000048,537.7018,0,1,141.2119981,Intel Core i7,0,256,Nvidia,655.1817902
52,HP,Notebook,4,Windows,1.860000014,254.7786,0,0,141.2119981,AMD Processor,0,256,AMD,332.0031806
53,HP,Notebook,8,Windows,1.49000001,705.2141,0,0,165.6321181,Intel Core i7,0,512,Intel,730.6247456
54,Acer,Notebook,4,Windows,2.400000095,245.5142,0,0,100.4546699,Intel Core i3,1000,0,Intel,325.8688747
55,Dell,Notebook,8,Windows,2.130000114,490.9006,0,0,141.2119981,Intel Core i7,0,256,AMD,654.9442933
56,HP,Notebook,4,Windows,1.909999967,280.679,0,0,141.2119981,Intel Core i3,0,128,Intel,331.7577961
57,Asus,Notebook,4,Windows,2,374.7864,0,0,100.4546699,Intel Core i5,0,256,Intel,435.6348649
58,MSI,Gaming,16,Windows,2.430000067,1565.793,0,0,127.3356746,Intel Core i7,2000,256,Nvidia,1112.329184
59,Asus,Notebook,4,Other,2,265.3344,0,0,141.2119981,Intel Core i3,0,256,Intel,325.7338062
60,Dell,Notebook,16,Windows,2.799999952,830.5286,0,0,127.3356746,Intel Core i7,2000,256,AMD,1048.617045
61,Dell,Ultrabook,8,Windows,1.700000048,561.9974,0,0,157.3505121,Intel Core i5,0,256,Intel,739.1677571
62,Lenovo,Notebook,8,Other,1.700000048,382.9766,0,1,157.3505121,Intel Core i3,0,256,Intel,610.9395609
63,Asus,Notebook,8,Windows,1.399999976,601.6378,0,0,157.3505121,Intel Core i5,0,256,Intel,787.7349497
64,HP,Notebook,8,Windows,1.860000014,441.1584,0,0,141.2119981,Intel Core i5,0,256,Intel,650.6236696
65,Asus,Ultrabook,16,Windows,1.799999952,1267.851,0,0,141.2119981,Intel Core i7,0,512,Nvidia,1116.352803
66,HP,Notebook,4,Windows,1.860000014,280.4808,0,0,100.4546699,Intel Core i3,500,0,AMD,325.7715257
67,HP,Notebook,4,Windows,1.440000057,146.4134,0,0,111.9352036,Other Intel Processor,0,32,Intel,212.7245606
68,Lenovo,Notebook,4,Windows,1.899999976,351.0086,0,0,141.2119981,Intel Core i5,1000,0,Intel,444.2324895
69,Asus,Gaming,12,Other,3,606.7526,0,0,127.3356746,Intel Core i7,1000,0,Nvidia,803.5389859
70,Microsoft,Ultrabook,4,Windows,1.251999974,696.263,1,0,200.8425599,Intel Core i5,0,128,Intel,611.6580083
71,Dell,Ultrabook,8,Windows,1.399999976,610.5888,0,1,165.6321181,Intel Core i7,0,256,AMD,923.3669027
72,Dell,Notebook,8,Windows,2.200000048,556.2432,0,0,141.2119981,Intel Core i7,0,256,AMD,654.0269362
73,MSI,Gaming,8,Windows,2.700000048,700.0992,0,0,127.3356746,Intel Core i5,1000,128,Nvidia,777.2256952
74,Acer,Notebook,8,Windows,2.099999905,248.711,0,0,111.9352036,Intel Core i3,1000,0,Intel,427.1537796
75,Asus,Gaming,8,Windows,2.200000048,606.7526,0,0,141.2119981,Intel Core i7,1000,0,Nvidia,706.4019455
76,Lenovo,Notebook,8,Other,2.200000048,331.8278,0,0,141.2119981,Intel Core i5,2000,0,Intel,534.0053998
77,Dell,Notebook,8,Windows,2.019999981,546.6528,0,0,141.2119981,Intel Core i7,1000,128,Intel,643.8528187
78,Acer,Notebook,4,Windows,2.200000048,338.8608,0,0,141.2119981,Intel Core i3,1000,0,Nvidia,331.7577961
79,HP,Notebook,8,Windows,2.5,624.6547,0,0,127.3356746,Intel Core i5,1000,128,Nvidia,627.2035515
80,Dell,Ultrabook,8,Windows,1.879999995,700.8409,0,1,141.2119981,Intel Core i5,0,256,Intel,731.8736014
81,Apple,Ultrabook,8,Mac,0.920000017,965.4336,0,1,226.4155472,Intel Core i5,0,512,Intel,938.9940672
82,HP,Notebook,8,Windows,1.629999995,549.8496,0,0,157.3505121,Intel Core i5,0,256,Intel,671.8434105
83,Lenovo,Notebook,4,Windows,2.200000048,255.1046,0,0,141.2119981,AMD Processor,0,128,AMD,332.1023917
84,Acer,Notebook,4,Windows,2.099999905,252.5472,0,0,100.4546699,AMD Processor,1000,0,AMD,326.2073536
85,Dell,Gaming,16,Windows,2.650000095,862.4966,0,1,141.2119981,Intel Core i7,1000,128,Nvidia,1110.535325
86,HP,Ultrabook,8,Windows,1.830000043,446.9126,0,1,141.2119981,Intel Core i7,0,256,Nvidia,784.2499808
87,HP,Notebook,8,Windows,1.960000038,382.9702,0,0,141.2119981,Intel Core i5,0,256,Intel,647.3222909
88,Asus,Gaming,16,Windows,2.200000048,926.4326,0,1,141.2119981,Intel Core i7,1000,128,Nvidia,1110.872582
89,Dell,Ultrabook,8,Windows,1.210000038,1054.305,0,1,165.6321181,Intel Core i7,0,256,Intel,925.4959454
90,Asus,Gaming,8,Windows,2.450000048,446.9126,0,0,141.2119981,AMD Processor,1000,0,AMD,679.7499733
91,Acer,Notebook,8,Windows,2.200000048,440.519,0,0,141.2119981,Intel Core i7,1000,0,Nvidia,595.4462545
92,HP,Notebook,16,Windows,1.49000001,765.3139,0,0,165.6321181,Intel Core i7,0,512,Intel,1141.984678
93,Dell,Gaming,8,Windows,2.650000095,764.0352,0,0,141.2119981,Intel Core i5,0,256,Nvidia,736.2789804
94,Asus,Ultrabook,8,Windows,1.25,670.6886,0,0,157.3505121,Intel Core i7,0,256,Intel,925.4959454
95,Acer,2 in 1 Convertible,8,Windows,1.5,541.5379,1,1,165.6321181,Intel Core i5,0,256,Intel,828.6764083
96,Dell,Notebook,8,Other,2.200000048,383.5521,0,0,141.2119981,Intel Core i7,1000,0,AMD,542.7425422
97,Dell,Notebook,4,Other,2.200000048,310.0896,0,0,141.2119981,Intel Core i3,0,256,AMD,325.7338062
98,Asus,Notebook,6,Windows,2,368.9107,0,0,141.2119981,Intel Core i3,0,256,Nvidia,331.7577961
99,HP,Gaming,12,Windows,2.619999886,798.5606,0,1,141.2119981,Intel Core i7,1000,128,Nvidia,784.3052109
100,HP,Notebook,8,Windows,1.909999967,459.6998,0,0,141.2119981,Intel Core i7,0,256,AMD,662.7202052
101,HP,Notebook,4,Windows,2.099999905,223.1366,0,0,141.2119981,AMD Processor,500,0,AMD,332.1023917
102,Dell,Notebook,8,Other,2.200000048,413.6659,0,0,141.2119981,Intel Core i5,1000,0,AMD,534.0053998
103,HP,Ultrabook,8,Windows,1.379999995,715.4438,0,1,165.6321181,Intel Core i7,0,256,Nvidia,931.0246009
104,Microsoft,Ultrabook,8,Windows,1.251999974,856.7424,1,0,200.8425599,Intel Core i5,0,256,Intel,934.0158369
105,HP,Notebook,6,Windows,1.580000043,421.3382,0,1,157.3505121,Intel Core i5,0,256,Nvidia,543.7922728
106,Lenovo,Notebook,4,Windows,1.850000024,265.2705,0,0,141.2119981,Intel Core i3,1000,0,Intel,335.5543308
107,Asus,Ultrabook,8,Windows,1.299999952,762.7565,0,1,157.3505121,Intel Core i7,0,256,Nvidia,925.6425795
108,MSI,Gaming,16,Windows,2.200000048,830.5286,0,0,141.2119981,Intel Core i7,1000,256,Nvidia,1112.619018
109,Lenovo,Notebook,8,Windows,1.580000043,946.2528,0,1,157.3505121,Intel Core i7,0,256,Intel,687.2133854
110,Asus,Ultrabook,16,Windows,1.5,806.8723,0,0,141.2119981,Intel Core i7,1000,256,Nvidia,1113.572101
111,Dell,Ultrabook,8,Windows,1.230000019,881.6774,1,0,276.0535301,Intel Core i7,0,256,Intel,948.2085423
112,Lenovo,2 in 1 Convertible,8,Windows,1.370000005,894.4646,1,1,165.6321181,Intel Core i5,0,256,Intel,904.5575416
113,HP,Notebook,4,Windows,1.629999995,461.6179,0,1,111.9352036,Intel Core i5,500,0,Intel,527.1393475
114,Dell,Ultrabook,8,Windows,1.210000038,1041.517,0,1,165.6321181,Intel Core i5,0,256,Intel,904.3329217
115,HP,2 in 1 Convertible,8,Windows,1.25999999,894.4582,1,1,165.6321181,Intel Core i5,0,256,Intel,911.2869437
116,HP,Notebook,8,Windows,1.629999995,693.0662,0,0,157.3505121,Intel Core i7,0,512,Intel,687.9374535
117,Dell,Notebook,8,Windows,2.160000086,722.6878,0,1,141.2119981,Intel Core i7,1000,256,Nvidia,656.1007672
118,Asus,Notebook,4,Windows,2,360.599,0,0,127.3356746,Intel Core i3,1000,0,Nvidia,331.7577961
119,Asus,Notebook,8,Windows,1.700000048,714.8045,0,0,141.2119981,Intel Core i7,0,256,Nvidia,675.1896218
120,Acer,Notebook,6,Windows,2.099999905,306.2534,1,1,141.2119981,Intel Core i3,1000,0,Intel,331.7577961
121,MSI,Gaming,16,Windows,1.799999952,1433.125,0,0,141.2119981,Intel Core i7,2000,256,Nvidia,1113.572101
122,Lenovo,Notebook,8,Other,2.200000048,402.1574,0,0,141.2119981,Intel Core i5,0,256,Nvidia,583.1364012
123,HP,Notebook,16,Windows,2.5,812.6266,0,0,127.3356746,Intel Core i7,0,512,Nvidia,1051.276069
124,Acer,Notebook,4,Windows,2.099999905,288.3514,0,0,100.4546699,AMD Processor,0,256,AMD,326.2073536
125,HP,Notebook,4,Other,1.860000014,165.5942,0,0,100.4546699,Other Intel Processor,500,0,Intel,212.6586969
126,HP,Notebook,8,Windows,1.629999995,519.1603,0,0,157.3505121,Intel Core i5,1000,0,Intel,608.2317519
127,Asus,Notebook,4,Windows,1.649999976,177.7357,0,0,111.9352036,AMD Processor,0,64,AMD,374.355705
128,Dell,Notebook,16,Windows,2.799999952,892.5466,0,0,127.3356746,Intel Core i7,2000,256,AMD,1048.617045
129,HP,Notebook,8,Windows,2.5,593.3261,0,0,127.3356746,Intel Core i5,0,256,Intel,641.4673612
130,Dell,Notebook,8,Windows,2.359999895,408.5446,0,0,100.4546699,Intel Core i5,1000,0,AMD,388.7426756
131,Dell,Notebook,4,Windows,2.200000048,287.0726,0,0,141.2119981,Intel Core i3,1000,0,AMD,331.7577961
132,Acer,Ultrabook,8,Windows,1.600000024,565.1942,0,1,157.3505121,Intel Core i7,0,256,Intel,776.2508583
133,Acer,Notebook,4,Windows,2.200000048,365.7139,0,0,141.2119981,Intel Core i3,0,256,Nvidia,331.7577961
134,HP,Notebook,8,Windows,2.049999952,382.3373,0,0,100.4546699,Intel Core i7,1000,0,Intel,387.2861307
135,HP,Notebook,8,Windows,1.629999995,631.6877,0,0,157.3505121,Intel Core i7,0,256,Intel,684.7707245
136,Lenovo,Notebook,4,Other,1.899999976,161.3489,0,0,100.4546699,Other Intel Processor,1000,0,Intel,212.6586969
137,Asus,Gaming,8,Windows,3,599.7197,0,0,127.3356746,Intel Core i5,1000,128,Nvidia,797.630725
138,Lenovo,Notebook,4,Other,2.200000048,319.0406,0,0,141.2119981,Intel Core i5,1000,0,Nvidia,424.1953245
139,HP,Notebook,4,Windows,1.320000052,446.9126,0,1,165.6321181,Intel Core i5,0,256,Intel,612.525151
140,Acer,Notebook,4,Windows,3,418.7808,0,1,127.3356746,Intel Core i3,1000,0,Nvidia,331.7577961
141,Lenovo,Notebook,8,Windows,1.75,713.5385,0,1,157.3505121,Intel Core i5,0,256,AMD,671.8519179
142,Lenovo,Gaming,8,Other,2.400000095,555.6038,0,1,141.2119981,Intel Core i7,0,256,Nvidia,724.3804041
143,Toshiba,Notebook,4,Windows,2.099999905,384.8947,0,0,100.4546699,Intel Core i5,500,0,Intel,430.3534766
144,HP,Notebook,4,Windows,1.860000014,235.9238,0,0,100.4546699,AMD Processor,0,256,AMD,326.1099035
145,Asus,Ultrabook,8,Windows,1.25,702.6566,0,0,157.3505121,Intel Core i7,0,256,Intel,925.4959454
146,HP,Ultrabook,8,Windows,0.970000029,1287.671,1,1,352.4651472,Other Intel Processor,0,512,Intel,943.5612296
147,Asus,Notebook,4,Windows,2,219.9398,0,0,141.2119981,Other Intel Processor,1000,0,Intel,212.6586969
148,MSI,Gaming,16,Windows,2.900000095,1297.261,0,0,127.3356746,Intel Core i7,1000,256,Nvidia,1126.708244
149,Acer,Notebook,4,Windows,2.099999905,285.7939,0,0,100.4546699,Intel Core i3,1000,0,Intel,325.8688747
150,Dell,Gaming,16,Windows,2.559999943,798.7269,0,0,141.2119981,Intel Core i7,0,512,Nvidia,1114.713749
151,Dell,Gaming,8,Windows,2.619999886,574.7846,0,0,141.2119981,Intel Core i7,0,0,Nvidia,725.1166184
152,Lenovo,Notebook,4,Windows,1.899999976,318.4013,0,0,100.4546699,Intel Core i5,0,128,Intel,440.6741663
153,MSI,Gaming,16,Windows,2.799999952,1208.39,0,0,127.3356746,Intel Core i7,1000,256,Nvidia,1123.092686
154,HP,Ultrabook,4,Windows,1.480000019,691.7875,0,0,157.3505121,Intel Core i5,0,256,Intel,612.8870354
155,HP,Notebook,6,Windows,1.909999967,395.7638,0,0,141.2119981,Intel Core i5,0,256,AMD,446.8678248
156,Lenovo,2 in 1 Convertible,4,Windows,1.74000001,402.1574,1,1,157.3505121,Intel Core i3,0,256,Intel,374.5767763
157,Asus,2 in 1 Convertible,8,Windows,1.100000024,840.7584,1,0,165.6321181,Intel Core i5,0,256,Intel,904.3329217
158,Dell,2 in 1 Convertible,8,Windows,1.559999943,670.6886,1,0,141.2119981,Intel Core i7,0,256,Intel,779.2399054
159,Toshiba,Notebook,4,Windows,2.099999905,285.7939,0,0,100.4546699,Intel Core i3,500,0,Intel,325.8688747
160,Asus,Notebook,4,Windows,2.029999971,257.6621,0,0,100.4546699,AMD Processor,1000,0,AMD,326.2073536
161,Acer,Notebook,4,Windows,3,514.6848,0,1,127.3356746,Intel Core i5,0,256,Nvidia,435.773591
162,Dell,Notebook,8,Windows,2.130000114,465.4541,0,0,141.2119981,Intel Core i5,0,256,AMD,642.3671019
163,Lenovo,Gaming,16,Windows,2.5,689.8694,0,1,141.2119981,Intel Core i7,0,256,Nvidia,1112.197223
164,Acer,Notebook,4,Windows,2.099999905,222.4973,0,0,100.4546699,Other Intel Processor,1000,0,Intel,212.6586969
165,MSI,Gaming,16,Windows,2.400000095,1150.209,0,1,141.2119981,Intel Core i7,1000,256,Nvidia,1112.329184
166,Acer,Notebook,4,Windows,2.099999905,232.4138,0,0,100.4546699,Other Intel Processor,1000,0,Intel,212.6586969
167,Dell,Gaming,8,Windows,2.559999943,678.0349,0,0,141.2119981,Intel Core i7,1000,128,Nvidia,741.7876896
168,Acer,Notebook,8,Windows,3,546.0134,0,1,127.3356746,Intel Core i5,0,256,Nvidia,702.242112
169,HP,Notebook,4,Windows,1.49000001,482.0774,0,1,165.6321181,Intel Core i5,500,0,Intel,607.060143
170,Huawei,Ultrabook,8,Windows,1.049999952,862.4966,0,1,199.6920706,Intel Core i5,0,256,Intel,934.0158369
171,HP,Notebook,6,Windows,2.710000038,446.9126,0,1,127.3356746,Intel Core i5,2000,0,AMD,434.9463357
172,Lenovo,Notebook,4,Other,2.200000048,197.5622,0,0,100.4546699,AMD Processor,500,0,AMD,320.2841475
173,Toshiba,Notebook,4,Windows,2,312.647,0,0,100.4546699,Intel Core i3,500,0,Intel,325.8688747
174,HP,Notebook,8,Windows,2.5,590.1293,0,0,127.3356746,Intel Core i5,0,256,Nvidia,641.8792348
175,Dell,Notebook,8,Windows,2.299999952,293.4662,0,0,100.4546699,Intel Core i3,1000,0,Intel,386.608337
176,Acer,Notebook,4,Windows,2.099999905,287.0726,0,0,100.4546699,Intel Core i3,0,128,Intel,325.8688747
177,MSI,Gaming,32,Windows,4.400000095,1789.569,0,0,119.7232158,Intel Core i7,1000,512,Nvidia,1698.376003
178,Lenovo,Notebook,8,Windows,1.899999976,519.7997,0,0,141.2119981,Intel Core i5,1000,128,AMD,635.0338182
179,HP,2 in 1 Convertible,8,Windows,1.289999962,958.4006,1,1,331.2642361,Intel Core i5,0,256,Intel,936.3082586
180,Dell,Notebook,16,Other,2.019999981,670.6886,0,0,141.2119981,Intel Core i7,2000,256,AMD,1031.73623
181,Dell,Ultrabook,8,Windows,1.230000019,894.4646,0,0,165.6321181,Intel Core i5,0,256,Intel,904.3329217
182,Lenovo,2 in 1 Convertible,16,Windows,1.399999976,1182.177,1,1,316.9650604,Intel Core i7,0,512,Intel,1261.479146
183,Toshiba,Notebook,8,Windows,2,507.0125,0,0,100.4546699,Intel Core i5,0,128,Intel,402.4276991
184,Xiaomi,Notebook,8,Other,1.950000048,766.5926,0,1,141.2119981,Intel Core i5,0,256,Nvidia,591.4100866
185,Dell,Notebook,16,Windows,2.769999981,990.3686,1,0,127.3356746,Intel Core i7,0,512,Nvidia,1052.95493
186,Dell,Notebook,16,Windows,2.059999943,1532.546,1,0,282.4239962,Intel Core i7,0,512,Nvidia,1192.061431
187,Lenovo,Gaming,8,Other,2.400000095,498.0614,0,1,141.2119981,Intel Core i5,0,256,Nvidia,694.123565
188,Acer,Ultrabook,8,Windows,1.120000005,632.327,0,1,165.6321181,Intel Core i5,0,256,Intel,904.3329217
189,Dell,Notebook,8,Windows,2.799999952,693.7056,0,0,127.3356746,Intel Core i7,1000,128,AMD,688.5515119
190,Lenovo,2 in 1 Convertible,16,Windows,1.419999957,1805.553,1,0,209.8006829,Intel Core i7,0,1000,Intel,1262.067618
191,Vero,Notebook,4,Windows,1.299999952,166.2336,0,1,157.3505121,Other Intel Processor,0,0,Intel,212.6586969
192,Xiaomi,Ultrabook,8,Other,1.299999952,639.2961,0,1,165.6321181,Intel Core i5,0,256,Nvidia,899.3237393
193,Lenovo,Notebook,8,Other,2.799999952,446.2733,0,0,106.1130621,Intel Core i5,0,256,Nvidia,408.5445839
194,Dell,2 in 1 Convertible,8,Windows,1.620000005,536.423,1,1,165.6321181,Intel Core i7,1000,0,Intel,726.3521893
195,HP,Notebook,8,Windows,2.5,584.375,0,1,127.3356746,Intel Core i5,1000,0,Nvidia,585.4144874
196,Razer,Gaming,32,Windows,3.49000001,3899.457,1,0,254.6713491,Intel Core i7,0,1000,Nvidia,1671.159821
197,HP,Notebook,8,Windows,1.49000001,613.1462,0,0,165.6321181,Intel Core i5,0,512,Intel,719.2355421
198,HP,Gaming,16,Windows,3.349999905,881.6774,0,1,127.3356746,Intel Core i7,1000,256,Nvidia,1252.128303
199,HP,Notebook,8,Windows,2.5,668.1312,0,0,127.3356746,Intel Core i7,0,256,Nvidia,654.5846421
200,Dell,Gaming,16,Windows,2.650000095,1179.619,0,1,282.4239962,Intel Core i7,1000,512,Nvidia,1261.208664
201,Lenovo,Notebook,4,Windows,2.099999905,315.2045,0,0,100.4546699,Intel Core i5,0,128,Intel,430.5971801
202,Acer,Notebook,8,Windows,2.230000019,474.4051,0,0,141.2119981,Intel Core i7,1000,0,Nvidia,595.4462545
203,Lenovo,Gaming,16,Windows,3.200000048,1118.241,0,1,141.2119981,Intel Core i7,1000,512,Nvidia,1228.773429
204,Dell,Workstation,16,Windows,2.799999952,1953.245,0,0,282.4239962,Other Intel Processor,1000,256,Nvidia,1266.771949
205,Lenovo,Gaming,16,Other,2.400000095,893.8253,0,0,141.2119981,Intel Core i7,0,512,Nvidia,1115.106782
206,Dell,Notebook,6,Windows,2.299999952,280.679,1,0,100.4546699,Intel Core i3,1000,0,Intel,325.8688747
207,Dell,Ultrabook,8,Windows,1.210000038,1246.113,1,1,331.2642361,Intel Core i7,0,256,Intel,948.2085423
208,Dell,Ultrabook,8,Windows,1.200000048,926.4326,0,0,165.6321181,Intel Core i7,0,256,Intel,925.4959454
209,Lenovo,Notebook,8,Windows,2.200000048,381.6979,0,0,100.4546699,Intel Core i5,0,256,Intel,406.647094
210,Acer,Notebook,8,Other,2.400000095,498.0614,0,0,141.2119981,Intel Core i7,1000,0,Nvidia,542.9478217
211,Asus,Gaming,16,Windows,2.900000095,899.5795,0,0,127.3356746,Intel Core i7,1000,256,Nvidia,1126.708244
212,HP,Notebook,4,Other,2.099999905,223.1366,0,0,141.2119981,Intel Core i3,500,0,Intel,325.7338062
213,Lenovo,Notebook,8,Other,2.200000048,351.0086,0,0,141.2119981,Intel Core i5,0,256,Intel,582.762221
214,Huawei,Ultrabook,8,Windows,1.049999952,958.4006,0,1,199.6920706,Intel Core i7,0,512,Intel,954.9976192
215,Dell,Ultrabook,8,Windows,1.399999976,595.8068,0,1,165.6321181,Intel Core i7,0,256,AMD,923.3669027
216,Lenovo,Notebook,8,Other,2.799999952,376.583,0,0,106.1130621,Intel Core i5,1000,0,Nvidia,390.4324437
217,HP,Notebook,8,Windows,1.629999995,659.1802,0,0,157.3505121,Intel Core i7,0,256,Nvidia,685.2104023
218,Dell,Ultrabook,8,Windows,1.600000024,734.6246,0,0,157.3505121,Intel Core i5,0,256,Intel,739.1677571
219,Dell,2 in 1 Convertible,16,Windows,1.620000005,817.7414,1,0,165.6321181,Intel Core i7,0,512,Intel,1210.159419
220,Dell,Notebook,8,Other,2.200000048,433.0705,0,0,141.2119981,Intel Core i5,0,256,AMD,582.762221
221,Lenovo,2 in 1 Convertible,8,Windows,1.74000001,574.7846,0,1,157.3505121,Intel Core i5,0,256,Intel,739.3513529
222,Toshiba,Ultrabook,8,Windows,1.200000048,871.4477,0,0,165.6321181,Intel Core i7,0,256,Intel,925.4959454
223,HP,Notebook,8,Windows,2.099999905,507.6518,0,0,141.2119981,Intel Core i5,1000,0,Intel,585.0583122
224,Dell,Gaming,16,Windows,4.420000076,1570.486,0,1,127.3356746,Intel Core i7,1000,256,Nvidia,1544.905638
