Company,TypeName,Ram,OpSys,Weight,TouchScreen,IPS,PPI,CPU_name,HDD,SSD,Gpu brand,Predicted Price
Lenovo,Notebook,8,Other,2.2,0,0,141.2119981,Intel Core i3,1000,0,Nvidia,534.0189778
Dell,Ultrabook,8,Windows,1.22,1,1,165.6321181,Intel Core i5,0,128,Intel,888.3312055
Asus,Netbook,2,Windows,0.98,0,0,135.0942112,Other Intel Processor,0,0,Intel,211.8324135
Lenovo,Gaming,8,Windows,2.5,0,1,141.2119981,Intel Core i5,1000,128,Nvidia,709.2016677
HP,Notebook,4,Other,1.86,0,0,100.4546699,AMD Processor,500,0,AMD,320.1884669
Dell,2 in 1 Convertible,8,Windows,1.62,1,0,165.6321181,Intel Core i5,0,256,Intel,739.1677571
HP,Ultrabook,8,Windows,1.91,0,0,141.2119981,Intel Core i7,0,256,Intel,781.1707628
Dell,Notebook,4,Windows,2.3,0,0,100.4546699,Intel Core i3,1000,0,Intel,325.8688747
Apple,Ultrabook,8,Mac,1.35,0,0,127.6779401,Intel Core i5,0,0,Intel,861.9087972
Dell,Notebook,8,Windows,2.2,0,0,141.2119981,Intel Core i5,0,256,AMD,641.4673612
Dell,Ultrabook,8,Windows,1.88,0,0,141.2119981,Intel Core i7,0,512,Intel,775.3909032
HP,Notebook,8,Windows,2.5,0,0,127.3356746,Intel Core i5,1000,0,Nvidia,584.7309833
Chuwi,Notebook,4,Windows,1.89,0,0,141.2119981,Other Intel Processor,0,0,Intel,212.6586969
Asus,Notebook,2,Windows,1.65,0,0,111.9352036,AMD Processor,0,0,AMD,374.355705
HP,Notebook,4,Windows,2.71,0,0,127.3356746,AMD Processor,500,0,AMD,332.1023917
Dell,Ultrabook,16,Windows,1.2,1,0,276.0535301,Intel Core i7,0,512,Intel,1261.479146
Apple,Ultrabook,8,Mac,1.35,0,0,127.6779401,Intel Core i5,0,0,Intel,861.9087972
Lenovo,Notebook,4,Windows,1.44,0,0,111.9352036,Other Intel Processor,0,0,Intel,212.6586969
Acer,Notebook,4,Other,2.1,0,0,100.4546699,Intel Core i3,1000,0,Intel,319.9518147
Dell,Notebook,8,Windows,2.8,0,1,127.3356746,Intel Core i5,1000,128,AMD,674.3725497
HP,Notebook,4,Windows,1.86,0,0,100.4546699,Intel Core i5,1000,0,Intel,439.7062123
HP,Notebook,8,Windows,2.1,0,0,141.2119981,Intel Core i5,0,256,Nvidia,643.5148484
Asus,Notebook,4,Other,2,0,0,141.2119981,Intel Core i3,1000,0,Intel,325.7338062
Dell,Gaming,16,Windows,2.65,0,1,141.2119981,Intel Core i7,1000,256,Nvidia,1112.281231
Asus,Notebook,8,Other,2.3,0,0,100.4546699,Intel Core i5,1000,0,Nvidia,388.7426756
Acer,Notebook,4,Windows,2.2,0,1,141.2119981,Intel Core i5,0,256,Intel,435.773591
Dell,2 in 1 Convertible,12,Windows,2.77,1,0,127.3356746,Intel Core i5,1000,0,Nvidia,787.4064134
Apple,Ultrabook,8,Mac,1.37,0,1,226.9830047,Intel Core i5,0,256,Intel,932.1464519
Lenovo,Notebook,4,Other,2.2,0,0,100.4546699,Intel Core i3,0,128,Intel,319.9518147
Asus,Gaming,8,Windows,3.2,0,0,127.3356746,AMD Processor,1000,256,AMD,815.0811713
Dell,Notebook,4,Windows,2.3,0,0,141.2119981,Intel Core i5,0,256,AMD,435.773591
Asus,Notebook,4,Windows,2.8,0,0,90.58340172,Other Intel Processor,1000,0,Nvidia,212.6586969
Lenovo,2 in 1 Convertible,4,Other,0.69,1,1,224.1738091,Other Intel Processor,0,0,Intel,212.6586969
Acer,Notebook,8,Windows,2.2,0,1,141.2119981,Intel Core i7,0,256,Nvidia,655.1817902
HP,Notebook,4,Windows,1.86,0,0,141.2119981,AMD Processor,0,256,AMD,332.0031806
HP,Notebook,8,Windows,1.49,0,0,165.6321181,Intel Core i7,0,512,Intel,730.6247456
Acer,Notebook,4,Windows,2.4,0,0,100.4546699,Intel Core i3,1000,0,Intel,325.8688747
Dell,Notebook,8,Windows,2.13,0,0,141.2119981,Intel Core i7,0,256,AMD,654.9442933
HP,Notebook,4,Windows,1.91,0,0,141.2119981,Intel Core i3,0,128,Intel,331.7577961
Asus,Notebook,4,Windows,2,0,0,100.4546699,Intel Core i5,0,256,Intel,435.6348649
MSI,Gaming,16,Windows,2.43,0,0,127.3356746,Intel Core i7,2000,256,Nvidia,1112.329184
Asus,Notebook,4,Other,2,0,0,141.2119981,Intel Core i3,0,256,Intel,325.7338062
Dell,Notebook,16,Windows,2.8,0,0,127.3356746,Intel Core i7,2000,256,AMD,1048.617045
Dell,Ultrabook,8,Windows,1.7,0,0,157.3505121,Intel Core i5,0,256,Intel,739.1677571
Lenovo,Notebook,8,Other,1.7,0,1,157.3505121,Intel Core i3,0,256,Intel,610.9395609
Asus,Notebook,8,Windows,1.4,0,0,157.3505121,Intel Core i5,0,256,Intel,787.7349497
HP,Notebook,8,Windows,1.86,0,0,141.2119981,Intel Core i5,0,256,Intel,650.6236696
Asus,Ultrabook,16,Windows,1.8,0,0,141.2119981,Intel Core i7,0,512,Nvidia,1116.352803
HP,Notebook,4,Windows,1.86,0,0,100.4546699,Intel Core i3,500,0,AMD,325.7715257
HP,Notebook,4,Windows,1.44,0,0,111.9352036,Other Intel Processor,0,32,Intel,212.7245606
Lenovo,Notebook,4,Windows,1.9,0,0,141.2119981,Intel Core i5,1000,0,Intel,444.2324895
Asus,Gaming,12,Other,3,0,0,127.3356746,Intel Core i7,1000,0,Nvidia,803.5389859
Microsoft,Ultrabook,4,Windows,1.252,1,0,200.8425599,Intel Core i5,0,128,Intel,611.6580083
Dell,Ultrabook,8,Windows,1.4,0,1,165.6321181,Intel Core i7,0,256,AMD,923.3669027
Dell,Notebook,8,Windows,2.2,0,0,141.2119981,Intel Core i7,0,256,AMD,654.0269362
MSI,Gaming,8,Windows,2.7,0,0,127.3356746,Intel Core i5,1000,128,Nvidia,777.2256952
Acer,Notebook,8,Windows,2.1,0,0,111.9352036,Intel Core i3,1000,0,Intel,427.1537796
Asus,Gaming,8,Windows,2.2,0,0,141.2119981,Intel Core i7,1000,0,Nvidia,706.4019455
Lenovo,Notebook,8,Other,2.2,0,0,141.2119981,Intel Core i5,2000,0,Intel,534.0053998
Dell,Notebook,8,Windows,2.02,0,0,141.2119981,Intel Core i7,1000,128,Intel,643.8528187
Acer,Notebook,4,Windows,2.2,0,0,141.2119981,Intel Core i3,1000,0,Nvidia,331.7577961
HP,Notebook,8,Windows,2.5,0,0,127.3356746,Intel Core i5,1000,128,Nvidia,627.2035515
Dell,Ultrabook,8,Windows,1.88,0,1,141.2119981,Intel Core i5,0,256,Intel,731.8736014
Apple,Ultrabook,8,Mac,0.92,0,1,226.4155472,Intel Core i5,0,512,Intel,938.9940672
HP,Notebook,8,Windows,1.63,0,0,157.3505121,Intel Core i5,0,256,Intel,671.8434105
Lenovo,Notebook,4,Windows,2.2,0,0,141.2119981,AMD Processor,0,128,AMD,332.1023917
Acer,Notebook,4,Windows,2.1,0,0,100.4546699,AMD Processor,1000,0,AMD,326.2073536
Dell,Gaming,16,Windows,2.65,0,1,141.2119981,Intel Core i7,1000,128,Nvidia,1110.535325
HP,Ultrabook,8,Windows,1.83,0,1,141.2119981,Intel Core i7,0,256,Nvidia,784.2499808
HP,Notebook,8,Windows,1.96,0,0,141.2119981,Intel Core i5,0,256,Intel,647.3222909
Asus,Gaming,16,Windows,2.2,0,1,141.2119981,Intel Core i7,1000,128,Nvidia,1110.872582
Dell,Ultrabook,8,Windows,1.21,0,1,165.6321181,Intel Core i7,0,256,Intel,925.4959454
Asus,Gaming,8,Windows,2.45,0,0,141.2119981,AMD Processor,1000,0,AMD,679.7499733
Acer,Notebook,8,Windows,2.2,0,0,141.2119981,Intel Core i7,1000,0,Nvidia,595.4462545
HP,Notebook,16,Windows,1.49,0,0,165.6321181,Intel Core i7,0,512,Intel,1141.984678
Dell,Gaming,8,Windows,2.65,0,0,141.2119981,Intel Core i5,0,256,Nvidia,736.2789804
Asus,Ultrabook,8,Windows,1.25,0,0,157.3505121,Intel Core i7,0,256,Intel,925.4959454
Acer,2 in 1 Convertible,8,Windows,1.5,1,1,165.6321181,Intel Core i5,0,256,Intel,828.6764083
Dell,Notebook,8,Other,2.2,0,0,141.2119981,Intel Core i7,1000,0,AMD,542.7425422
Dell,Notebook,4,Other,2.2,0,0,141.2119981,Intel Core i3,0,256,AMD,325.7338062
Asus,Notebook,6,Windows,2,0,0,141.2119981,Intel Core i3,0,256,Nvidia,331.7577961
HP,Gaming,12,Windows,2.62,0,1,141.2119981,Intel Core i7,1000,128,Nvidia,784.3052109
HP,Notebook,8,Windows,1.91,0,0,141.2119981,Intel Core i7,0,256,AMD,662.7202052
HP,Notebook,4,Windows,2.1,0,0,141.2119981,AMD Processor,500,0,AMD,332.1023917
Dell,Notebook,8,Other,2.2,0,0,141.2119981,Intel Core i5,1000,0,AMD,534.0053998
HP,Ultrabook,8,Windows,1.38,0,1,165.6321181,Intel Core i7,0,256,Nvidia,931.0246009
Microsoft,Ultrabook,8,Windows,1.252,1,0,200.8425599,Intel Core i5,0,256,Intel,934.0158369
HP,Notebook,6,Windows,1.58,0,1,157.3505121,Intel Core i5,0,256,Nvidia,543.7922728
Lenovo,Notebook,4,Windows,1.85,0,0,141.2119981,Intel Core i3,1000,0,Intel,335.5543308
Asus,Ultrabook,8,Windows,1.3,0,1,157.3505121,Intel Core i7,0,256,Nvidia,925.6425795
MSI,Gaming,16,Windows,2.2,0,0,141.2119981,Intel Core i7,1000,256,Nvidia,1112.619018
Lenovo,Notebook,8,Windows,1.58,0,1,157.3505121,Intel Core i7,0,256,Intel,687.2133854
Asus,Ultrabook,16,Windows,1.5,0,0,141.2119981,Intel Core i7,1000,256,Nvidia,1113.572101
Dell,Ultrabook,8,Windows,1.23,1,0,276.0535301,Intel Core i7,0,256,Intel,948.2085423
Lenovo,2 in 1 Convertible,8,Windows,1.37,1,1,165.6321181,Intel Core i5,0,256,Intel,904.5575416
HP,Notebook,4,Windows,1.63,0,1,111.9352036,Intel Core i5,500,0,Intel,527.1393475
Dell,Ultrabook,8,Windows,1.21,0,1,165.6321181,Intel Core i5,0,256,Intel,904.3329217
HP,2 in 1 Convertible,8,Windows,1.26,1,1,165.6321181,Intel Core i5,0,256,Intel,911.2869437
HP,Notebook,8,Windows,1.63,0,0,157.3505121,Intel Core i7,0,512,Intel,687.9374535
Dell,Notebook,8,Windows,2.16,0,1,141.2119981,Intel Core i7,1000,256,Nvidia,656.1007672
Asus,Notebook,4,Windows,2,0,0,127.3356746,Intel Core i3,1000,0,Nvidia,331.7577961
Asus,Notebook,8,Windows,1.7,0,0,141.2119981,Intel Core i7,0,256,Nvidia,675.1896218
Acer,Notebook,6,Windows,2.1,1,1,141.2119981,Intel Core i3,1000,0,Intel,331.7577961
MSI,Gaming,16,Windows,1.8,0,0,141.2119981,Intel Core i7,2000,256,Nvidia,1113.572101
Lenovo,Notebook,8,Other,2.2,0,0,141.2119981,Intel Core i5,0,256,Nvidia,583.1364012
HP,Notebook,16,Windows,2.5,0,0,127.3356746,Intel Core i7,0,512,Nvidia,1051.276069
Acer,Notebook,4,Windows,2.1,0,0,100.4546699,AMD Processor,0,256,AMD,326.2073536
HP,Notebook,4,Other,1.86,0,0,100.4546699,Other Intel Processor,500,0,Intel,212.6586969
HP,Notebook,8,Windows,1.63,0,0,157.3505121,Intel Core i5,1000,0,Intel,608.2317519
Asus,Notebook,4,Windows,1.65,0,0,111.9352036,AMD Processor,0,64,AMD,374.355705
Dell,Notebook,16,Windows,2.8,0,0,127.3356746,Intel Core i7,2000,256,AMD,1048.617045
HP,Notebook,8,Windows,2.5,0,0,127.3356746,Intel Core i5,0,256,Intel,641.4673612
Dell,Notebook,8,Windows,2.36,0,0,100.4546699,Intel Core i5,1000,0,AMD,388.7426756
Dell,Notebook,4,Windows,2.2,0,0,141.2119981,Intel Core i3,1000,0,AMD,331.7577961
Acer,Ultrabook,8,Windows,1.6,0,1,157.3505121,Intel Core i7,0,256,Intel,776.2508583
Acer,Notebook,4,Windows,2.2,0,0,141.2119981,Intel Core i3,0,256,Nvidia,331.7577961
HP,Notebook,8,Windows,2.05,0,0,100.4546699,Intel Core i7,1000,0,Intel,387.2861307
HP,Notebook,8,Windows,1.63,0,0,157.3505121,Intel Core i7,0,256,Intel,684.7707245
Lenovo,Notebook,4,Other,1.9,0,0,100.4546699,Other Intel Processor,1000,0,Intel,212.6586969
Asus,Gaming,8,Windows,3,0,0,127.3356746,Intel Core i5,1000,128,Nvidia,797.630725
Lenovo,Notebook,4,Other,2.2,0,0,141.2119981,Intel Core i5,1000,0,Nvidia,424.1953245
HP,Notebook,4,Windows,1.32,0,1,165.6321181,Intel Core i5,0,256,Intel,612.525151
Acer,Notebook,4,Windows,3,0,1,127.3356746,Intel Core i3,1000,0,Nvidia,331.7577961
Lenovo,Notebook,8,Windows,1.75,0,1,157.3505121,Intel Core i5,0,256,AMD,671.8519179
Lenovo,Gaming,8,Other,2.4,0,1,141.2119981,Intel Core i7,0,256,Nvidia,724.3804041
Toshiba,Notebook,4,Windows,2.1,0,0,100.4546699,Intel Core i5,500,0,Intel,430.3534766
HP,Notebook,4,Windows,1.86,0,0,100.4546699,AMD Processor,0,256,AMD,326.1099035
Asus,Ultrabook,8,Windows,1.25,0,0,157.3505121,Intel Core i7,0,256,Intel,925.4959454
HP,Ultrabook,8,Windows,0.97,1,1,352.4651472,Other Intel Processor,0,512,Intel,943.5612296
Asus,Notebook,4,Windows,2,0,0,141.2119981,Other Intel Processor,1000,0,Intel,212.6586969
MSI,Gaming,16,Windows,2.9,0,0,127.3356746,Intel Core i7,1000,256,Nvidia,1126.708244
Acer,Notebook,4,Windows,2.1,0,0,100.4546699,Intel Core i3,1000,0,Intel,325.8688747
Dell,Gaming,16,Windows,2.56,0,0,141.2119981,Intel Core i7,0,512,Nvidia,1114.713749
Dell,Gaming,8,Windows,2.62,0,0,141.2119981,Intel Core i7,0,0,Nvidia,725.1166184
Lenovo,Notebook,4,Windows,1.9,0,0,100.4546699,Intel Core i5,0,128,Intel,440.6741663
MSI,Gaming,16,Windows,2.8,0,0,127.3356746,Intel Core i7,1000,256,Nvidia,1123.092686
HP,Ultrabook,4,Windows,1.48,0,0,157.3505121,Intel Core i5,0,256,Intel,612.8870354
HP,Notebook,6,Windows,1.91,0,0,141.2119981,Intel Core i5,0,256,AMD,446.8678248
Lenovo,2 in 1 Convertible,4,Windows,1.74,1,1,157.3505121,Intel Core i3,0,256,Intel,374.5767763
Asus,2 in 1 Convertible,8,Windows,1.1,1,0,165.6321181,Intel Core i5,0,256,Intel,904.3329217
Dell,2 in 1 Convertible,8,Windows,1.56,1,0,141.2119981,Intel Core i7,0,256,Intel,779.2399054
Toshiba,Notebook,4,Windows,2.1,0,0,100.4546699,Intel Core i3,500,0,Intel,325.8688747
Asus,Notebook,4,Windows,2.03,0,0,100.4546699,AMD Processor,1000,0,AMD,326.2073536
Acer,Notebook,4,Windows,3,0,1,127.3356746,Intel Core i5,0,256,Nvidia,435.773591
Dell,Notebook,8,Windows,2.13,0,0,141.2119981,Intel Core i5,0,256,AMD,642.3671019
Lenovo,Gaming,16,Windows,2.5,0,1,141.2119981,Intel Core i7,0,256,Nvidia,1112.197223
Acer,Notebook,4,Windows,2.1,0,0,100.4546699,Other Intel Processor,1000,0,Intel,212.6586969
MSI,Gaming,16,Windows,2.4,0,1,141.2119981,Intel Core i7,1000,256,Nvidia,1112.329184
Acer,Notebook,4,Windows,2.1,0,0,100.4546699,Other Intel Processor,1000,0,Intel,212.6586969
Dell,Gaming,8,Windows,2.56,0,0,141.2119981,Intel Core i7,1000,128,Nvidia,741.7876896
Acer,Notebook,8,Windows,3,0,1,127.3356746,Intel Core i5,0,256,Nvidia,702.242112
HP,Notebook,4,Windows,1.49,0,1,165.6321181,Intel Core i5,500,0,Intel,607.060143
Huawei,Ultrabook,8,Windows,1.05,0,1,199.6920706,Intel Core i5,0,256,Intel,934.0158369
HP,Notebook,6,Windows,2.71,0,1,127.3356746,Intel Core i5,2000,0,AMD,434.9463357
Lenovo,Notebook,4,Other,2.2,0,0,100.4546699,AMD Processor,500,0,AMD,320.2841475
Toshiba,Notebook,4,Windows,2,0,0,100.4546699,Intel Core i3,500,0,Intel,325.8688747
HP,Notebook,8,Windows,2.5,0,0,127.3356746,Intel Core i5,0,256,Nvidia,641.8792348
Dell,Notebook,8,Windows,2.3,0,0,100.4546699,Intel Core i3,1000,0,Intel,386.608337
Acer,Notebook,4,Windows,2.1,0,0,100.4546699,Intel Core i3,0,128,Intel,325.8688747
MSI,Gaming,32,Windows,4.4,0,0,119.7232158,Intel Core i7,1000,512,Nvidia,1698.376003
Lenovo,Notebook,8,Windows,1.9,0,0,141.2119981,Intel Core i5,1000,128,AMD,635.0338182
HP,2 in 1 Convertible,8,Windows,1.29,1,1,331.2642361,Intel Core i5,0,256,Intel,936.3082586
Dell,Notebook,16,Other,2.02,0,0,141.2119981,Intel Core i7,2000,256,AMD,1031.73623
Dell,Ultrabook,8,Windows,1.23,0,0,165.6321181,Intel Core i5,0,256,Intel,904.3329217
Lenovo,2 in 1 Convertible,16,Windows,1.4,1,1,316.9650604,Intel Core i7,0,512,Intel,1261.479146
Toshiba,Notebook,8,Windows,2,0,0,100.4546699,Intel Core i5,0,128,Intel,402.4276991
Xiaomi,Notebook,8,Other,1.95,0,1,141.2119981,Intel Core i5,0,256,Nvidia,591.4100866
Dell,Notebook,16,Windows,2.77,1,0,127.3356746,Intel Core i7,0,512,Nvidia,1052.95493
Dell,Notebook,16,Windows,2.06,1,0,282.4239962,Intel Core i7,0,512,Nvidia,1192.061431
Lenovo,Gaming,8,Other,2.4,0,1,141.2119981,Intel Core i5,0,256,Nvidia,694.123565
Acer,Ultrabook,8,Windows,1.12,0,1,165.6321181,Intel Core i5,0,256,Intel,904.3329217
Dell,Notebook,8,Windows,2.8,0,0,127.3356746,Intel Core i7,1000,128,AMD,688.5515119
Lenovo,2 in 1 Convertible,16,Windows,1.42,1,0,209.8006829,Intel Core i7,0,1000,Intel,1262.067618
Vero,Notebook,4,Windows,1.3,0,1,157.3505121,Other Intel Processor,0,0,Intel,212.6586969
Xiaomi,Ultrabook,8,Other,1.3,0,1,165.6321181,Intel Core i5,0,256,Nvidia,899.3237393
Lenovo,Notebook,8,Other,2.8,0,0,106.1130621,Intel Core i5,0,256,Nvidia,408.5445839
Dell,2 in 1 Convertible,8,Windows,1.62,1,1,165.6321181,Intel Core i7,1000,0,Intel,726.3521893
HP,Notebook,8,Windows,2.5,0,1,127.3356746,Intel Core i5,1000,0,Nvidia,585.4144874
Razer,Gaming,32,Windows,3.49,1,0,254.6713491,Intel Core i7,0,1000,Nvidia,1671.159821
HP,Notebook,8,Windows,1.49,0,0,165.6321181,Intel Core i5,0,512,Intel,719.2355421
HP,Gaming,16,Windows,3.35,0,1,127.3356746,Intel Core i7,1000,256,Nvidia,1252.128303
HP,Notebook,8,Windows,2.5,0,0,127.3356746,Intel Core i7,0,256,Nvidia,654.5846421
Dell,Gaming,16,Windows,2.65,0,1,282.4239962,Intel Core i7,1000,512,Nvidia,1261.208664
Lenovo,Notebook,4,Windows,2.1,0,0,100.4546699,Intel Core i5,0,128,Intel,430.5971801
Acer,Notebook,8,Windows,2.23,0,0,141.2119981,Intel Core i7,1000,0,Nvidia,595.4462545
Lenovo,Gaming,16,Windows,3.2,0,1,141.2119981,Intel Core i7,1000,512,Nvidia,1228.773429
Dell,Workstation,16,Windows,2.8,0,0,282.4239962,Other Intel Processor,1000,256,Nvidia,1266.771949
Lenovo,Gaming,16,Other,2.4,0,0,141.2119981,Intel Core i7,0,512,Nvidia,1115.106782
Dell,Notebook,6,Windows,2.3,1,0,100.4546699,Intel Core i3,1000,0,Intel,325.8688747
Dell,Ultrabook,8,Windows,1.21,1,1,331.2642361,Intel Core i7,0,256,Intel,948.2085423
Dell,Ultrabook,8,Windows,1.2,0,0,165.6321181,Intel Core i7,0,256,Intel,925.4959454
Lenovo,Notebook,8,Windows,2.2,0,0,100.4546699,Intel Core i5,0,256,Intel,406.647094
Acer,Notebook,8,Other,2.4,0,0,141.2119981,Intel Core i7,1000,0,Nvidia,542.9478217
Asus,Gaming,16,Windows,2.9,0,0,127.3356746,Intel Core i7,1000,256,Nvidia,1126.708244
HP,Notebook,4,Other,2.1,0,0,141.2119981,Intel Core i3,500,0,Intel,325.7338062
Lenovo,Notebook,8,Other,2.2,0,0,141.2119981,Intel Core i5,0,256,Intel,582.762221
Huawei,Ultrabook,8,Windows,1.05,0,1,199.6920706,Intel Core i7,0,512,Intel,954.9976192
Dell,Ultrabook,8,Windows,1.4,0,1,165.6321181,Intel Core i7,0,256,AMD,923.3669027
Lenovo,Notebook,8,Other,2.8,0,0,106.1130621,Intel Core i5,1000,0,Nvidia,390.4324437
HP,Notebook,8,Windows,1.63,0,0,157.3505121,Intel Core i7,0,256,Nvidia,685.2104023
Dell,Ultrabook,8,Windows,1.6,0,0,157.3505121,Intel Core i5,0,256,Intel,739.1677571
Dell,2 in 1 Convertible,16,Windows,1.62,1,0,165.6321181,Intel Core i7,0,512,Intel,1210.159419
Dell,Notebook,8,Other,2.2,0,0,141.2119981,Intel Core i5,0,256,AMD,582.762221
Lenovo,2 in 1 Convertible,8,Windows,1.74,0,1,157.3505121,Intel Core i5,0,256,Intel,739.3513529
Toshiba,Ultrabook,8,Windows,1.2,0,0,165.6321181,Intel Core i7,0,256,Intel,925.4959454
HP,Notebook,8,Windows,2.1,0,0,141.2119981,Intel Core i5,1000,0,Intel,585.0583122
Dell,Gaming,16,Windows,4.42,0,1,127.3356746,Intel Core i7,1000,256,Nvidia,1544.905638
Acer,Notebook,8,Windows,2.2,0,0,141.2119981,Intel Core i7,0,256,Nvidia,654.446874
Dell,Notebook,16,Windows,2.3,1,0,141.2119981,Intel Core i7,1000,0,AMD,1003.513384
Asus,Notebook,8,Windows,2,0,0,141.2119981,Intel Core i5,0,256,Nvidia,646.9877616
Asus,Notebook,8,Windows,2.69,0,0,127.3356746,Intel Core i5,500,256,Nvidia,679.2721502
HP,Notebook,8,Windows,1.9,0,0,141.2119981,Intel Core i7,1000,0,AMD,602.2749451
Asus,Notebook,4,Windows,2.37,0,0,100.4546699,Intel Core i3,1000,0,Intel,325.8688747
HP,Notebook,4,Windows,2.1,0,0,100.4546699,AMD Processor,500,0,AMD,326.2073536
Lenovo,Gaming,16,Windows,3.2,0,1,141.2119981,Intel Core i7,1000,256,Nvidia,1227.833903
Dell,Notebook,8,Windows,1.6,0,0,157.3505121,Intel Core i5,0,256,Intel,672.0444396
Acer,2 in 1 Convertible,8,Windows,1.6,1,1,165.6321181,Intel Core i5,0,256,Intel,739.1677571
Dell,Notebook,16,Other,2.36,0,0,141.2119981,Intel Core i7,0,256,AMD,1031.767499
Acer,Notebook,4,Other,2.1,0,0,100.4546699,Intel Core i3,1000,0,Intel,319.9518147
Asus,Notebook,4,Windows,2.2,0,0,141.2119981,AMD Processor,1000,128,AMD,332.1023917
Asus,Gaming,32,Windows,4.7,0,0,127.3356746,Intel Core i7,1000,512,Nvidia,1698.376003
Acer,Gaming,8,Windows,2.5,0,1,141.2119981,Intel Core i5,0,256,Nvidia,721.995128
Lenovo,Notebook,8,Windows,2.2,0,0,100.4546699,Intel Core i3,0,128,Intel,400.1182018
Asus,Notebook,8,Windows,2.1,0,0,127.3356746,Intel Core i7,1000,128,Nvidia,641.2372712
Asus,Notebook,8,Other,2.69,0,0,127.3356746,Intel Core i7,1000,128,Nvidia,613.551798
Dell,Gaming,8,Windows,2.56,0,0,141.2119981,Intel Core i5,0,256,Nvidia,722.6464428
Lenovo,2 in 1 Convertible,8,Windows,1.38,1,1,158.4825302,Intel Core i7,0,256,Intel,924.0030484
Dell,Notebook,8,Windows,2.2,0,0,141.2119981,Intel Core i7,2000,128,AMD,639.2397992
HP,Notebook,8,Windows,2.04,1,0,100.4546699,Intel Core i5,1000,0,Intel,388.7426756
Asus,Gaming,16,Windows,3.6,0,0,127.3356746,Intel Core i7,0,256,Nvidia,1501.276353
HP,Notebook,4,Windows,1.49,0,1,165.6321181,Intel Core i5,500,0,Intel,607.060143
Apple,Ultrabook,8,Mac,1.37,0,1,226.9830047,Intel Core i5,0,512,Intel,938.9940672
Dell,2 in 1 Convertible,8,Windows,2.08,1,1,141.2119981,Intel Core i7,1000,0,Intel,718.4730918
Asus,Gaming,16,Windows,4.3,0,0,127.3356746,Intel Core i7,1000,256,Nvidia,1523.000457
Asus,Notebook,4,Windows,1.68,0,0,100.4546699,AMD Processor,1000,0,AMD,367.8344516
Lenovo,2 in 1 Convertible,8,Windows,1.37,1,1,158.4825302,Intel Core i7,0,512,Intel,933.3512211
Acer,Notebook,4,Windows,3,0,1,127.3356746,Intel Core i3,0,256,Nvidia,331.7577961
Dell,Ultrabook,8,Windows,1.41,0,0,165.6321181,Intel Core i5,0,256,Intel,899.6177304
HP,Notebook,8,Windows,1.91,0,0,100.4546699,AMD Processor,0,128,AMD,400.2182248
HP,Notebook,16,Windows,2.9,0,1,127.3356746,Intel Core i7,1000,0,Nvidia,1010.503879
MSI,Gaming,16,Windows,4.14,0,0,127.3356746,Intel Core i7,1000,512,Nvidia,1522.09957
Lenovo,2 in 1 Convertible,8,Windows,2,1,1,141.2119981,Intel Core i7,0,512,Nvidia,776.774394
Dell,Notebook,8,Windows,2.8,0,0,127.3356746,Intel Core i7,1000,128,AMD,688.5515119
Lenovo,Notebook,4,Other,2.2,0,0,141.2119981,Intel Core i3,0,256,Intel,325.7338062
HP,Notebook,4,Windows,2.1,0,1,141.2119981,Intel Core i5,500,0,Intel,436.4020782
